video_id,start_time,end_time,action,split,idx
FxWHn4-ly4w,30,40,motorboat speedboat acceleration,train,60001
FxYK0Z23HGA,0,10,metronome,train,60002
FxZTKkmtKic,0,10,people farting,test,60003
FxazUcUfh1o,30,40,rowboat canoe kayak rowing,test,60004
FxbEUrdXIzQ,90,100,playing accordion,train,60005
FxbNxUJK71w,30,40,ambulance siren,train,60006
FxcxVNJeBb4,100,110,machine gun shooting,train,60007
FxdC0Yvk_FA,0,10,playing french horn,train,60008
FxdC0Yvk_FA,299,309,playing french horn,train,60009
FxeXCOUVGRA,1,11,writing on blackboard with chalk,train,60010
FxeXCOUVGRA,21,31,writing on blackboard with chalk,train,60011
FxfG4MJQPuY,260,270,raining,train,60012
FxgAwrXenok,1,11,chicken crowing,train,60013
FxhFiPaJdFY,100,110,turkey gobbling,train,60014
Fxj0lWEw6xM,20,30,baltimore oriole calling,train,60015
FxkZsO4Kd78,22,32,black capped chickadee calling,test,60016
Fxl4CpEjcQU,8,18,fire crackling,test,60017
FxnwsHVr0m8,100,110,playing accordion,train,60018
FxtCOQx-sdM,100,110,pheasant crowing,train,60019
FxtWor7HXcQ,18,28,woodpecker pecking tree,train,60020
FxtWor7HXcQ,31,41,woodpecker pecking tree,train,60021
FxtYaJsFgmM,290,300,playing cello,train,60022
Fxvjkq6fxw0,144,154,playing volleyball,train,60023
Fxx2L_q8WcE,50,60,train horning,train,60024
Fy0aCDmgnxg,540,550,playing vibraphone,test,60025
Fy0cX7ukEJM,34,44,playing didgeridoo,train,60026
FyADecqjM2A,189,199,lip smacking,train,60027
FyADecqjM2A,219,229,lip smacking,train,60028
FyBWzQdLQck,33,43,firing cannon,train,60029
FyBWzQdLQck,54,64,firing cannon,train,60030
FyC1HnPQ14w,61,71,slot machine,train,60031
FyI8cAF74Yw,410,420,ambulance siren,train,60032
FyMYP14729E,30,40,ocean burbling,train,60033
FyQ_V0rSt2U,310,320,playing acoustic guitar,train,60034
FySSNE-mDRE,44,54,singing choir,train,60035
FySZzFTe84A,123,133,heart sounds heartbeat,train,60036
FySZzFTe84A,138,148,heart sounds heartbeat,train,60037
FyVZ31tLGCU,0,10,printer printing,train,60038
FyYk9aQo-sI,312,322,door slamming,train,60039
FyYk9aQo-sI,345,355,door slamming,train,60040
FyZkzUjXRlA,158,168,people humming,train,60041
Fy_AYiYHXhw,2,12,playing glockenspiel,train,60042
FydDhuAYcOI,21,31,singing choir,train,60043
FydDhuAYcOI,37,47,singing choir,train,60044
Fyg0oQCdtgQ,13,23,slot machine,train,60045
